scene,method,dmin_px,focal_px,baseline_mm,point_count,valid_gt_pixels,valid_pred_pixels,coverage,mae,rmse,bad1,bad2,bad4
Aloe,BM,0.0,1246.6666666666667,160.0,5528,153393,81793,0.5332251145749806,0.5476981401443481,2.3466625213623047,0.05076229017153057,0.03253334637438412,0.027019427090337805
Aloe,SGBM,0.0,1246.6666666666667,160.0,11350,153393,94483,0.6159537918940239,2.0210957527160645,10.672563552856445,0.08016256892774362,0.06322830562111703,0.05447540827450441
Baby1,BM,0.0,1246.6666666666667,160.0,32119,152441,98160,0.6439212547805381,0.37629976868629456,1.7975432872772217,0.029777913610431948,0.020385085574572127,0.015118174409127954
Baby1,SGBM,0.0,1246.6666666666667,160.0,29933,152441,101556,0.6661987260645102,0.5944900512695312,2.3434512615203857,0.04593524754815077,0.034168340619953524,0.030475796604828864
Baby2,BM,0.0,1246.6666666666667,160.0,29128,149597,89657,0.599323515845906,0.4562914967536926,1.4143038988113403,0.03902651215186767,0.02275338233489856,0.016027750203553542
Baby2,SGBM,0.0,1246.6666666666667,160.0,33418,149597,99057,0.6621590005147162,0.5492151379585266,1.5337181091308594,0.0734526585703181,0.03846270329204397,0.023844857001524375
Baby3,BM,0.0,1246.6666666666667,160.0,54977,151707,94492,0.622858536521057,0.35549354553222656,1.3607579469680786,0.04091351648816831,0.026224442280828007,0.016456419591076493
Baby3,SGBM,0.0,1246.6666666666667,160.0,63853,151707,104428,0.6883532071690825,0.519250214099884,1.9901238679885864,0.05124104646263454,0.03697284253265408,0.026286053548856627
Bowling1,BM,0.0,1246.6666666666667,160.0,26691,151008,71410,0.47288885357067173,0.9122453331947327,4.724163055419922,0.04458759277412127,0.031872286794566586,0.026214815852121553
Bowling1,SGBM,0.0,1246.6666666666667,160.0,38090,151008,90964,0.6023786819241365,2.5633206367492676,10.229084968566895,0.1176509388329449,0.08332966887999649,0.06604810694340618
Bowling2,BM,0.0,1246.6666666666667,160.0,75505,155732,95288,0.6118716769835358,0.449797660112381,1.9165232181549072,0.04596591386113676,0.033760809335907985,0.024987406598942153
Bowling2,SGBM,0.0,1246.6666666666667,160.0,80000,155732,106398,0.6832121850358308,0.6935033798217773,2.47355580329895,0.08125152728434745,0.05476606703133517,0.03732213011522773
Cloth1,BM,0.0,1246.6666666666667,160.0,49288,154281,105331,0.6827217868694136,0.13950718939304352,0.31702888011932373,0.003113993031491204,0.0012911678423256211,0.000854449307421367
Cloth1,SGBM,0.0,1246.6666666666667,160.0,45672,154281,106611,0.6910183366713983,0.16051466763019562,0.43745991587638855,0.0025325716858485524,0.0018572192362889383,0.0012287662623931864
Cloth2,BM,0.0,1246.6666666666667,160.0,80000,159277,100452,0.6306748620328108,0.3487807810306549,1.3616673946380615,0.03276191613905149,0.016843865726914348,0.010134193445625772
Cloth2,SGBM,0.0,1246.6666666666667,160.0,80000,159277,110041,0.6908781556659154,0.31781548261642456,1.1935487985610962,0.029452658554538762,0.01750256722494343,0.009896311374851191
Cloth3,BM,0.0,1246.6666666666667,160.0,40042,153188,101908,0.6652479306473091,0.2242913842201233,0.6236363053321838,0.017869058366369667,0.009498763590689642,0.006839502296188719
Cloth3,SGBM,0.0,1246.6666666666667,160.0,38625,153188,105681,0.6898777972164921,0.259840726852417,0.7083832025527954,0.024819977100897984,0.0147992543598187,0.008421570575600156
Cloth4,BM,0.0,1246.6666666666667,160.0,80000,159209,102515,0.6439020407137788,0.35162246227264404,1.9606343507766724,0.02191874359849778,0.015451397356484417,0.012934692484026728
Cloth4,SGBM,0.0,1246.6666666666667,160.0,80000,159209,105409,0.6620794050587593,0.5869542956352234,3.350428819656372,0.029987951692929445,0.022436414347920954,0.017664525799504786
Flowerpots,BM,0.0,1246.6666666666667,160.0,79043,138355,79358,0.5735824509414188,0.6338766813278198,2.4732673168182373,0.08304140729353059,0.05090854104186093,0.0201870006804607
Flowerpots,SGBM,0.0,1246.6666666666667,160.0,80000,138355,92999,0.6721766470311878,1.0636024475097656,3.1343331336975098,0.14544242411208722,0.10466779212679707,0.06754911343132722
Lampshade1,BM,0.0,1246.6666666666667,160.0,27781,155350,71073,0.4575024139040875,1.271246314048767,5.182253837585449,0.08722018206632617,0.07579530904844314,0.06375135424141376
Lampshade1,SGBM,0.0,1246.6666666666667,160.0,36881,155350,92438,0.5950305761184422,2.0251779556274414,7.322578430175781,0.13978017698349163,0.10510828879897878,0.08839438326229472
Lampshade2,BM,0.0,1246.6666666666667,160.0,32781,156923,61512,0.3919884274453076,1.0731451511383057,4.4747185707092285,0.07114059045389517,0.05517622577708415,0.048039406944986346
Lampshade2,SGBM,0.0,1246.6666666666667,160.0,43327,156923,85625,0.5456497772793026,4.795036792755127,11.62653636932373,0.2389255474452555,0.20968175182481752,0.19705693430656934
Midd1,BM,0.0,1246.6666666666667,160.0,34026,160159,63131,0.39417703656990866,1.2895455360412598,3.845816135406494,0.13080736880454927,0.09977665489220827,0.07931127338391598
Midd1,SGBM,0.0,1246.6666666666667,160.0,38778,160159,82381,0.5143700947183736,3.603976011276245,9.351419448852539,0.2631917553804882,0.21854553841298358,0.19528774838858476
Midd2,BM,0.0,1246.6666666666667,160.0,24340,154901,61675,0.39815753287583683,1.5306988954544067,4.827352523803711,0.12880421564653424,0.100559383867045,0.0858694770976895
Midd2,SGBM,0.0,1246.6666666666667,160.0,31870,154901,81246,0.524502746915772,2.291433334350586,5.303744792938232,0.24920611476257293,0.19736356251384685,0.164438864682569
Monopoly,BM,0.0,1246.6666666666667,160.0,5999,162688,92332,0.5675403225806451,0.9683771729469299,4.552760124206543,0.042466317203136504,0.04113416800242603,0.03971537495126284
Monopoly,SGBM,0.0,1246.6666666666667,160.0,10301,162688,98565,0.6058529209284028,1.5378562211990356,6.289389610290527,0.11595393902500888,0.09729620047684269,0.06556079744331152
Plastic,BM,0.0,1246.6666666666667,160.0,22709,156267,32958,0.21090825318205378,1.3758412599563599,4.000146865844727,0.18432550518842164,0.13128830632926755,0.0937556890588021
Plastic,SGBM,0.0,1246.6666666666667,160.0,32149,156267,54559,0.3491396136100392,7.245729923248291,15.877610206604004,0.4099598599681079,0.35000641507359004,0.32082699462966696
Rocks1,BM,0.0,1246.6666666666667,160.0,39310,150371,100132,0.6658996748043173,0.3893238306045532,0.7818901538848877,0.03488395318180002,0.01579914512843047,0.011774457715815125
Rocks1,SGBM,0.0,1246.6666666666667,160.0,42264,150371,102619,0.6824387681135325,0.35508161783218384,0.7472266554832458,0.030959179099387054,0.01356473947319697,0.008916477455441975
Rocks2,BM,0.0,1246.6666666666667,160.0,29411,150330,101981,0.6783808953635335,0.2733284533023834,0.7939807176589966,0.02523018993734127,0.014571341720516566,0.008727115835302654
Rocks2,SGBM,0.0,1246.6666666666667,160.0,29112,150330,103442,0.6880995144016497,0.3305535912513733,0.9785702228546143,0.03806964289166876,0.025231530712863246,0.01612497824868042
Wood1,BM,0.0,1246.6666666666667,160.0,50375,167795,86640,0.5163443487589022,0.5163386464118958,3.0485692024230957,0.02677746999076639,0.018340258541089567,0.01239612188365651
Wood1,SGBM,0.0,1246.6666666666667,160.0,80000,167795,109665,0.6535653624959027,0.45981255173683167,2.5830352306365967,0.027310445447499204,0.01272055806319245,0.008927187343272695
Wood2,BM,0.0,1246.6666666666667,160.0,67725,158035,99996,0.6327459107159806,0.46093234419822693,2.914167642593384,0.01731069242769711,0.013160526421056843,0.013160526421056843
Wood2,SGBM,0.0,1246.6666666666667,160.0,76846,158035,108663,0.6875881924890056,0.38274475932121277,2.2924981117248535,0.012736626082475175,0.008135243827245705,0.00808923000469341
